章节,唐三藏,孙悟空,猪八戒,沙僧,白龙马,如来佛祖,弥勒佛,燃灯古佛,观音菩萨,陈光蕊,殷温娇,唐太宗,魏征,叔宝,敬德,法明和尚,刘洪,李彪,文殊菩萨,普贤菩萨,地藏王菩萨,谛听,菩提祖师,阿难,伽叶,灵吉菩萨,毗蓝婆菩萨,孔雀明王,玉皇大帝,王母娘娘,天皇大帝,紫微大帝,长生大帝,青华大帝,东华帝君,真武大帝,元始天尊,灵宝天尊,太上老君,千里眼,顺风耳,雷公,电母,风伯,雨师,赤脚大罗仙,推云童子,布雾郎君,太白金星,木德星君,嫦娥,李靖,金吒,木吒,哪吒,巨灵神,东方持国天王,南方增长天王,西方广目天王,北方多闻天王,杨戬,哮天犬,敖广,敖钦,敖闰,敖顺,秦广王,泾河龙王,崔玨,阎罗王,混世魔王,寅将军,熊山军,特处士,黑风怪,白衣秀士,凌虚子,黄风怪,镇元大仙,清风,明月,白骨精,黄袍怪,金角大王,银角大王,狮猁怪,红孩儿,鼍龙,虎力大仙,鹿力大仙,羊力大仙,灵感大王,独角兕大王,如意真仙,女儿国国王,蝎子精,六耳猕猴,牛魔王,铁扇公主,万圣龙王,万圣公主,树精,黄眉大王,蟒蛇精,赛太岁,蜘蛛精,百眼魔君,黄牙老象,大鹏金翅鸟,白鹿精,白面狐狸精,地涌夫人,灭法国国王,南山大王,九灵元圣,辟寒大王,辟暑大王,辟尘大王,玉兔精,大白龟
第十一回,95,577,3,2,6,49,0,1,127,69,6,162,40,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,91,29,0,0,0,0,0,0,1,1,29,2,2,2,1,1,0,1,1,0,34,3,1,33,0,37,26,12,0,3,0,0,45,0,7,6,8,4,5,5,0,2,21,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十二回,135,579,3,2,6,52,0,1,164,69,6,209,42,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,91,29,0,0,0,0,0,0,1,1,29,2,2,2,1,1,0,1,1,0,34,3,1,33,0,45,26,12,0,3,0,0,45,0,7,6,8,4,5,5,0,2,21,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十三回,197,579,3,2,6,52,0,1,165,69,6,212,42,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,91,29,0,0,0,0,0,0,1,1,29,2,2,2,1,1,0,1,1,0,36,3,1,33,0,45,26,12,0,3,0,0,45,0,7,6,8,4,5,5,0,2,30,4,0,4,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十四回,318,675,3,2,6,54,0,1,178,69,6,215,42,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,91,29,0,0,0,0,0,0,1,1,29,2,2,3,1,1,0,1,1,0,36,3,1,33,0,45,26,12,0,3,0,0,45,0,7,6,8,4,5,5,0,2,30,4,0,4,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十五回,404,756,3,2,14,54,0,1,226,69,6,215,42,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,94,29,0,0,0,0,0,0,1,1,31,2,2,3,1,1,0,1,1,0,36,3,1,33,0,47,26,12,0,3,0,0,45,0,7,6,10,4,5,5,0,2,30,4,0,4,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十六回,473,820,3,2,18,54,0,1,237,69,6,215,42,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,95,29,0,0,0,0,0,0,1,1,31,2,2,5,1,1,0,1,1,0,36,3,1,33,0,47,26,12,0,3,2,0,45,0,7,6,10,4,5,5,0,2,30,4,0,4,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十七回,513,909,3,2,18,55,0,1,297,69,6,215,42,9,10,8,26,6,0,0,2,0,71,0,0,0,0,0,97,30,0,0,0,0,0,0,1,1,33,2,2,6,1,1,0,1,1,0,36,3,1,33,0,48,27,12,0,3,2,0,46,0,7,6,10,4,5,5,0,2,31,4,0,4,0,8,5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十八回,532,978,4,2,20,55,0,1,302,69,6,215,42,9,10,8,26,6,0,0,2,0,72,0,0,0,0,0,97,30,0,0,0,0,0,0,1,1,33,2,2,8,1,1,0,1,1,0,36,3,1,33,0,48,27,12,0,3,2,0,46,0,7,6,10,4,5,5,0,2,31,4,0,4,0,8,5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第十九回,587,1039,31,2,21,55,0,1,312,69,6,215,42,9,10,8,26,6,0,0,2,0,72,0,0,0,0,0,97,31,0,0,0,0,0,0,1,1,36,2,2,8,1,1,0,1,1,0,37,3,2,33,0,48,27,12,0,3,2,0,46,0,7,6,10,4,5,5,0,2,31,4,0,4,0,8,5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十回,658,1100,76,2,24,55,0,1,314,69,6,215,42,9,10,8,26,6,0,0,2,0,72,0,0,0,0,0,97,31,0,0,0,0,0,0,1,1,36,2,2,10,1,1,0,1,1,0,37,3,2,33,0,48,27,12,0,3,2,0,46,0,7,6,10,4,5,5,0,2,31,4,0,4,0,8,5,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十一回,688,1207,111,2,24,61,0,1,335,69,6,215,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,98,32,0,0,0,0,0,0,1,1,37,2,2,11,1,1,0,1,1,0,40,3,2,33,0,48,28,12,0,3,2,0,46,0,7,6,10,4,5,5,0,2,31,4,0,4,0,8,5,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十二回,752,1265,167,16,24,61,0,1,364,69,6,215,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,33,0,0,0,0,0,0,1,1,37,2,2,11,1,1,0,1,1,0,40,3,2,33,0,65,28,12,0,3,2,0,46,0,7,6,10,4,5,5,0,2,31,4,0,4,0,8,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十三回,806,1307,236,37,25,61,0,1,377,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,33,0,0,0,0,0,0,1,1,37,2,2,11,1,1,0,1,1,0,40,3,3,33,0,65,28,12,0,3,2,0,46,0,7,6,12,4,5,5,0,2,31,4,0,4,0,8,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十四回,855,1363,265,53,25,62,0,1,379,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,35,0,0,0,0,0,0,3,1,40,2,2,11,1,1,0,1,1,0,40,3,3,33,0,65,28,12,0,3,2,0,46,0,7,6,12,4,5,5,0,2,31,4,0,4,0,8,5,3,3,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十五回,918,1430,299,66,25,62,0,1,383,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,35,0,0,0,0,0,0,3,1,40,2,2,12,1,1,0,1,1,0,40,3,3,33,0,65,28,12,0,4,2,0,46,0,7,6,12,4,5,5,0,2,31,4,0,4,0,8,5,3,3,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十六回,950,1513,317,70,25,62,0,1,420,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,36,0,0,0,0,0,0,3,1,42,2,2,12,1,1,0,1,1,0,40,3,3,33,0,66,28,12,0,4,2,0,46,0,7,6,12,4,5,5,0,2,31,4,0,4,0,8,5,3,17,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十七回,1048,1581,346,85,25,63,0,1,429,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,36,0,0,0,0,0,0,3,1,42,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,28,12,0,4,2,0,46,0,7,6,12,4,5,5,0,2,31,4,0,4,0,8,5,3,18,35,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
