章节,贾宝玉,林黛玉,薛宝钗,贾代化,贾代善,贾赦,贾政,贾敷,贾敬,贾珍,贾蓉,贾珠,贾兰,贾琏,贾雨村,冷子兴,封肃,林如海,贾元春,贾迎春,贾探春,贾惜春,王熙凤,贾母,王夫人,邢夫人,尤氏,李纨,秦可卿,王嬷嬷,李嬷嬷,雪雁,紫鹃,麝月,秋纹,晴雯,茜雪,坠儿,入画,司棋,四儿,春燕,鸳鸯,碧痕,芳宫,香菱,袭人,莺儿,金钏,彩云,彩霞,宝珠,林红玉,史湘云,妙玉,李守,英莲,刘姥姥,平儿,薛姨妈,赵姨娘,薛蝌,秦业,秦钟,李贵,贾瑞,贾菌,贾璜,夏金桂,金荣,茗烟,贾巧姐,玉菡,薛宝琴
第十七回,360,156,40,2,1,15,36,1,4,94,64,3,5,15,111,34,13,30,2,9,8,9,305,86,97,28,70,6,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,6,36,5,7,1,0,6,0,0,0,2,14,64,28,27,0,0,5,83,16,73,9,2,0,35,15,0,0,0
第十八回,385,164,41,2,1,23,42,1,4,98,70,3,5,45,113,34,13,32,6,11,8,9,340,96,101,30,72,7,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,13,36,5,7,1,0,6,0,0,0,2,14,64,37,28,0,0,6,102,18,73,9,2,0,35,19,0,0,0
第十九回,432,164,41,2,1,23,123,1,4,115,70,3,5,48,116,34,13,32,6,11,8,9,340,99,101,30,72,7,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,13,36,5,7,1,0,6,0,0,0,2,14,64,37,28,0,0,6,104,19,73,9,2,1,35,19,0,0,0
第二十回,459,178,44,2,1,29,137,1,4,115,70,3,5,48,116,34,13,32,13,12,8,9,348,121,111,33,74,9,66,3,14,5,5,2,0,8,6,0,1,1,0,0,1,0,0,13,37,5,7,1,0,6,0,0,3,2,14,64,37,31,0,0,6,104,19,73,9,2,1,35,19,0,0,0
第二十一回,575,211,46,2,1,29,138,1,4,117,70,3,5,49,116,34,13,32,13,12,8,9,349,124,111,33,76,9,66,3,20,5,5,2,2,9,8,0,1,1,0,0,1,0,0,13,92,5,7,1,0,6,0,0,3,2,14,64,37,31,0,0,6,104,19,73,9,2,1,35,36,0,0,0
第二十二回,630,249,64,2,1,29,138,1,4,117,70,3,5,49,116,34,13,32,14,14,9,10,358,128,112,33,76,9,66,3,27,5,5,12,3,15,9,0,1,1,0,0,2,1,0,14,106,13,7,1,0,6,0,10,3,2,14,64,37,32,3,0,6,104,19,73,9,2,1,35,36,0,0,0
第二十三回,679,267,71,2,1,29,138,1,4,117,70,3,5,81,116,34,13,32,14,14,9,10,381,131,116,33,76,10,66,3,27,6,8,20,3,15,9,0,1,1,5,0,2,1,0,14,130,13,7,1,0,6,0,28,3,2,14,64,65,32,3,0,6,104,19,73,9,2,1,35,36,0,0,0
第二十四回,722,309,96,2,1,29,165,1,4,117,70,3,8,86,116,34,13,32,15,19,12,12,397,173,119,33,76,11,66,3,27,6,8,20,3,15,9,0,1,1,5,0,2,1,0,14,139,13,7,1,0,6,0,49,3,2,14,64,65,34,3,0,6,104,19,73,9,2,1,35,36,0,0,0
第二十五回,776,342,99,2,1,29,184,1,4,119,70,4,8,100,116,34,13,32,19,22,16,15,406,180,134,33,76,11,66,3,27,6,8,21,3,15,9,0,1,1,5,0,2,1,0,14,146,13,11,3,1,6,0,49,3,2,14,64,65,34,4,0,6,104,19,73,9,2,1,35,38,0,0,0
第二十六回,816,353,101,2,1,33,184,1,4,119,70,4,11,110,116,34,13,32,19,22,16,15,421,189,136,43,76,11,66,3,27,6,9,22,11,15,9,0,1,1,5,0,6,6,0,18,153,13,11,3,1,6,6,49,3,2,14,64,66,34,4,0,6,104,19,73,9,2,1,35,38,0,0,0
第二十七回,867,410,115,2,1,37,195,1,4,120,70,4,11,111,116,34,13,32,19,22,16,17,441,214,165,45,76,12,66,3,27,7,10,22,11,15,9,0,1,1,5,0,7,7,0,19,159,13,12,4,8,6,6,49,3,2,14,64,69,38,28,0,6,104,19,73,9,2,1,35,38,0,0,0
第二十八回,937,439,122,2,1,37,197,1,4,120,70,4,13,111,116,34,13,32,19,22,16,17,441,214,165,45,76,12,66,3,32,7,15,22,11,20,9,15,1,1,6,0,7,8,0,19,169,14,12,4,8,6,8,49,3,2,14,64,69,38,28,0,6,104,19,73,9,2,1,35,38,0,0,0
第二十九回,964,470,143,2,1,37,197,1,4,120,70,4,13,111,116,34,13,32,19,24,30,19,459,214,166,45,76,13,66,3,32,8,17,23,11,22,9,20,2,4,6,0,7,9,0,21,172,15,12,4,8,6,8,49,3,2,14,64,70,38,29,0,6,104,19,73,9,2,1,35,38,1,0,0
第三十回,1061,559,170,2,1,37,197,1,4,120,70,4,13,111,116,34,13,32,20,24,32,20,470,222,182,45,76,13,66,3,32,8,17,23,11,23,9,21,2,4,6,0,7,9,0,22,185,15,12,4,8,6,8,49,3,2,14,64,70,38,29,0,6,104,19,73,9,2,1,35,38,1,11,0
第三十一回,1070,566,177,2,1,37,197,1,4,148,76,4,13,111,116,34,13,32,21,26,34,22,486,263,185,45,76,13,66,3,32,9,18,23,11,23,9,21,3,5,6,0,9,9,0,24,185,16,13,5,8,6,9,49,3,2,14,64,71,41,29,0,6,104,19,73,9,3,1,35,38,2,11,0
第三十二回,1140,619,192,2,1,37,197,1,4,148,76,4,13,111,116,34,13,32,21,26,34,22,493,266,194,45,76,13,66,3,32,9,23,24,11,24,9,21,3,5,6,0,10,9,0,24,199,16,27,6,8,6,9,49,3,2,14,64,71,41,29,0,6,104,19,73,9,3,1,35,38,2,11,0
第三十三回,1210,643,228,2,1,37,199,1,4,148,76,4,13,111,116,34,13,32,21,28,36,24,512,288,208,47,76,13,66,3,32,10,32,26,14,25,9,22,3,5,6,0,10,9,0,26,216,56,29,6,8,6,9,55,3,2,14,64,72,60,30,0,6,104,19,73,9,3,1,35,38,2,11,0
第三十四回,1260,669,253,2,1,37,201,1,4,148,76,4,13,111,116,34,13,32,21,28,36,24,532,293,227,47,76,13,66,3,33,10,32,27,14,26,9,22,3,5,6,0,13,9,0,26,257,56,31,6,8,6,9,67,3,2,14,64,74,65,33,0,6,104,19,73,9,3,1,35,38,2,11,0
第三十五回,1298,684,283,2,1,37,203,1,4,148,76,4,13,111,116,34,13,32,21,40,54,27,532,298,228,47,76,33,66,3,33,10,32,30,24,35,9,22,3,5,6,0,13,9,0,26,276,56,31,6,8,6,9,97,3,2,14,64,74,65,33,0,6,104,19,73,9,3,1,35,38,2,11,0
第三十六回,1314,698,294,2,1,37,203,1,4,148,76,4,13,111,116,34,13,32,21,42,58,28,556,322,234,47,76,42,66,3,33,10,33,30,24,35,9,22,4,6,6,0,25,9,0,26,280,57,31,7,10,6,9,120,3,2,14,64,81,70,34,0,6,104,19,73,9,3,1,35,38,2,11,0
第三十七回,1337,700,297,2,1,37,203,1,4,148,76,4,13,111,116,34,13,32,21,42,61,29,561,351,238,47,76,48,66,3,33,10,33,30,24,35,9,22,4,6,6,0,27,9,0,26,289,57,31,7,11,6,9,122,3,2,14,100,117,70,34,0,6,104,19,73,9,3,1,35,46,2,11,0
第三十八回,1349,717,305,2,1,37,203,1,4,148,76,4,13,111,116,34,13,32,21,48,70,33,600,421,255,47,76,62,66,3,33,10,34,30,24,35,9,22,4,6,6,0,90,9,0,26,290,57,31,7,11,6,9,133,3,2,14,160,117,89,34,0,6,104,19,73,9,3,1,35,46,2,11,0
第三十九回,1354,720,307,2,1,37,203,1,4,148,76,4,13,111,116,34,13,32,21,48,70,33,612,445,261,47,76,62,66,3,33,10,35,30,24,35,9,22,4,6,6,0,94,9,0,26,290,57,31,7,11,6,9,135,9,2,14,185,117,97,34,0,6,104,19,73,9,3,1,35,46,2,11,0
第四十回,1371,725,312,2,1,37,203,1,4,148,76,4,13,111,116,34,13,32,21,49,70,33,615,452,263,47,76,63,66,3,33,10,35,30,24,35,9,22,4,6,6,0,95,9,0,26,298,57,31,7,11,6,9,136,30,2,14,208,117,99,34,0,6,104,19,73,9,3,1,35,46,2,11,0
第四十一回,1380,753,340,2,1,37,203,1,4,154,77,4,13,113,116,34,13,32,21,49,73,37,628,468,266,47,76,70,66,3,33,10,35,30,24,35,9,22,4,6,6,0,103,9,0,26,298,57,31,7,11,6,9,137,30,2,14,230,126,99,34,0,6,104,19,73,9,3,1,35,46,2,11,0
第四十二回,1414,755,342,2,1,37,204,1,4,154,77,4,13,113,116,34,13,32,21,49,74,37,653,507,281,52,102,76,66,3,33,10,35,30,24,35,9,22,4,6,6,0,109,9,0,26,305,57,31,8,12,6,9,137,30,2,14,230,133,103,34,0,6,104,20,73,9,3,1,35,69,2,11,0
第四十三回,1426,758,346,2,1,37,204,1,4,154,77,4,13,149,116,34,13,32,21,49,74,37,711,537,285,58,111,79,66,3,33,10,35,30,24,35,9,22,4,6,6,0,112,9,0,26,309,57,32,8,12,6,9,137,30,2,14,230,193,104,34,0,6,104,20,73,9,3,1,35,69,2,11,0
第四十四回,1446,785,361,2,1,37,204,1,4,154,77,4,13,149,116,34,13,32,21,50,78,38,735,539,286,58,111,92,66,3,33,10,36,30,24,35,9,22,4,6,6,0,112,9,0,26,309,57,32,8,12,6,9,137,30,2,14,230,205,104,34,0,6,104,20,73,9,3,1,35,69,2,11,0
第四十五回,1462,790,363,2,1,49,204,1,4,154,77,4,13,155,116,34,13,32,21,51,79,39,762,556,295,83,111,95,66,3,33,10,37,31,24,35,10,22,4,6,6,0,160,9,0,26,327,57,33,8,13,6,9,137,30,2,14,230,231,108,34,0,6,104,20,73,9,3,1,35,69,2,11,0
第四十六回,1472,790,366,2,1,51,204,1,4,159,84,4,13,167,116,34,13,32,21,51,81,39,780,584,301,95,111,95,66,3,33,10,37,31,24,35,10,22,4,6,6,0,173,9,0,27,327,57,33,8,13,6,9,137,30,2,14,230,237,127,34,0,6,105,20,73,9,3,1,35,71,2,11,0
第四十七回,1483,818,398,2,1,51,204,1,4,160,84,4,13,167,119,34,13,32,21,51,91,42,780,587,302,95,111,98,66,3,33,10,38,31,24,35,10,22,5,6,6,0,173,9,0,67,327,59,33,8,13,6,9,137,30,2,14,230,248,138,34,0,6,105,20,73,9,3,1,35,71,2,11,0
第四十八回,1519,848,425,2,1,51,204,1,4,160,84,4,13,167,119,34,13,32,21,54,103,43,797,603,306,104,111,119,66,3,33,10,38,32,24,37,10,22,5,6,6,0,173,9,0,79,332,60,33,8,13,6,9,169,31,2,14,230,254,139,34,3,6,105,20,73,9,3,1,35,71,2,11,19
第四十九回,1547,874,444,2,1,51,204,1,4,160,84,4,13,167,119,34,13,32,21,54,110,49,811,637,306,104,111,145,66,3,33,10,38,32,24,37,10,22,5,6,6,0,175,9,0,80,334,60,33,8,13,6,9,208,34,2,14,230,255,144,34,3,6,105,20,73,9,3,1,35,71,2,11,43
第五十回,1590,876,446,2,1,51,204,1,4,160,84,4,13,167,119,34,13,32,21,54,111,49,830,641,312,104,111,147,66,3,33,10,38,62,24,67,10,22,5,6,6,0,175,9,0,80,355,60,33,8,13,6,10,208,34,2,14,230,259,144,34,3,6,105,20,73,9,3,1,35,73,2,11,44
第五十一回,1662,889,453,2,1,51,204,1,4,160,84,4,13,167,119,34,13,32,21,54,112,50,831,656,317,105,113,147,66,3,33,10,39,90,28,111,10,33,5,6,6,0,180,9,0,81,360,60,33,8,13,6,10,210,34,2,14,230,267,146,35,3,6,105,25,73,9,3,1,35,74,2,11,56
第五十二回,1672,890,454,2,1,59,204,1,12,196,108,4,13,170,121,34,13,32,22,56,112,50,842,696,325,113,129,150,66,3,33,10,39,91,28,116,10,34,5,6,6,0,181,9,0,81,363,60,33,8,13,6,10,211,34,2,14,230,268,151,35,3,6,105,25,73,11,3,1,35,74,2,11,60
